Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Holy See,2021-10-26 01:22:13,41.9029,12.4534,27,0,,,3337.4536464771318,,,0.0,336,VAT,0,0
Honduras,2021-10-26 01:22:13,15.2,-86.2419,374148,10191,,,3777.51446599401,,,2.723788447352385,340,HND,11131,512
Hungary,2021-10-26 01:22:13,47.1625,19.5033,850513,30567,,,8804.163410228408,,,3.5939485933783493,348,HUN,23747,341
Iceland,2021-10-26 01:22:13,64.9631,-19.0208,13142,33,,,3851.135531135531,,,0.25110333282605385,352,ISL,1267,0
India,2021-10-26 01:22:13,20.593684,78.96288,34189774,454712,,,2477.5119826883742,,,1.3299649187502671,356,IND,510988,7518
Indonesia,2021-10-26 01:22:13,-0.7893,113.9213,4240479,143235,,,1550.315466173212,,,3.3778023661949512,360,IDN,32006,1738
Iran,2021-10-26 01:22:13,32.427908,53.68804599999999,5868360,125363,,,6986.72899380023,,,2.1362527179654958,364,IRN,327324,5863
Iraq,2021-10-26 01:22:13,33.223191,43.679291,2047811,22993,,,5091.207277677374,,,1.1228086967010142,368,IRQ,52507,851
Ireland,2021-10-26 01:22:13,53.1424,-7.6921,431722,5369,,,8743.212558801539,,,1.2436243693858549,372,IRL,45200,160
Israel,2021-10-26 01:22:13,31.046051,34.851612,1324040,8062,,,15297.021873040634,,,0.6088939911180931,376,ISR,56873,374
Italy,2021-10-26 01:22:13,41.8719,12.5674,4743720,131856,,,7845.809756198571,,,2.7795907009688596,380,ITA,80871,1129
Jamaica,2021-10-26 01:22:13,18.1096,-77.2975,88431,2183,,,2986.362443649636,,,2.4685913310942995,388,JAM,5481,345
Japan,2021-10-26 01:22:13,36.204824,138.252924,1717851,18214,,,1358.237752040779,,,1.0602782197059,392,JPN,21874,711
Jordan,2021-10-26 01:22:13,31.24,36.51,853012,10965,,,8360.289087476993,,,1.2854449878782481,400,JOR,31627,271
Kazakhstan,2021-10-26 01:22:13,48.0196,66.9237,1008555,16957,,,5371.309250338731,,,1.6813163387222314,398,KAZ,54260,1368
Kenya,2021-10-26 01:22:13,-0.0236,37.9062,252688,5260,,,469.93098548854135,,,2.081618438548724,404,KEN,4211,155
Kiribati,2021-10-26 01:22:13,-3.3704,-168.734,2,0,,,1.7005935071339895,,,0.0,296,KIR,0,0
"Korea, South",2021-10-26 01:22:13,35.90775700000001,127.766922,353089,2773,,,688.6963656120676,,,0.7853544007318268,410,KOR,49536,317
Kosovo,2021-10-26 01:22:13,42.602636,20.902977,160638,2975,,,8873.233368280225,,,1.8519901891208803,383,XKS,765,38
Kuwait,2021-10-26 01:22:13,29.31166,47.481766,412557,2461,,,9660.482704505235,,,0.5965236318860182,414,KWT,1043,15
Kyrgyzstan,2021-10-26 01:22:13,41.20438,74.766098,180629,2655,,,2768.603800839062,,,1.4698636431580754,417,KGZ,2305,53
Laos,2021-10-26 01:22:13,19.85627,102.495496,36248,53,,,498.21621880169715,,,0.14621496358419775,418,LAO,13814,36
Latvia,2021-10-26 01:22:13,56.8796,24.6032,203460,3049,,,10786.755607299749,,,1.4985746584095154,428,LVA,47787,344
Lebanon,2021-10-26 01:22:13,33.8547,35.8623,638054,8459,,,9348.171151406752,,,1.3257498581624754,422,LBN,15584,167
Lesotho,2021-10-26 01:22:13,-29.61,28.2336,21587,656,,,1007.6779015727376,,,3.038865984157132,426,LSO,7192,253
Liberia,2021-10-26 01:22:13,6.4280550000000005,-9.429499,5811,287,,,114.89464431991208,,,4.938908965754604,430,LBR,19,4
Libya,2021-10-26 01:22:13,26.3351,17.228331,354215,5028,,,5155.0022579467295,,,1.419476871391669,434,LBY,16646,400
Liechtenstein,2021-10-26 01:22:13,47.14,9.55,3629,60,,,9515.693421087133,,,1.6533480297602643,438,LIE,70,2
Lithuania,2021-10-26 01:22:13,55.1694,23.8813,390031,5661,,,14327.307403947632,,,1.4514230920106352,440,LTU,62579,720
Luxembourg,2021-10-26 01:22:13,49.8153,6.1296,80603,842,,,12876.372257083338,,,1.044626130541047,442,LUX,2841,7
MS Zaandam,2021-10-26 01:22:13,,,9,2,,,,,,22.222222222222218,8888,,0,0
Madagascar,2021-10-26 01:22:13,-18.766947,46.869107,43622,960,,,157.53121977923598,,,2.2007244051166843,450,MDG,724,2
Malawi,2021-10-26 01:22:13,-13.2543,34.3015,61765,2296,,,322.87059744782465,,,3.7173156318303247,454,MWI,248,20
Malaysia,2021-10-26 01:22:13,4.210483999999999,101.97576600000001,2436498,28492,,,7527.955726871144,,,1.1693832705793314,458,MYS,233481,2963
Maldives,2021-10-26 01:22:13,3.2028,73.2207,87071,240,,,16108.091508152927,,,0.2756371237266139,462,MDV,2560,9
Mali,2021-10-26 01:22:13,17.570692,-3.996166000000001,15849,558,,,78.26344337225815,,,3.520726859738785,466,MLI,685,11
Malta,2021-10-26 01:22:13,35.9375,14.3754,37564,460,,,8507.515757384965,,,1.2245767223937811,470,MLT,461,2
Marshall Islands,2021-10-26 01:22:13,7.1315,171.1845,4,0,,,6.8477907315152455,,,0.0,584,MHL,0,0
Mauritania,2021-10-26 01:22:13,21.0079,-10.9408,36989,792,,,795.5205326841102,,,2.1411771067074,478,MRT,1096,24
Mauritius,2021-10-26 01:22:13,-20.348404,57.552152,17143,153,,,1347.9670411325344,,,0.8924925625619786,480,MUS,1886,77
Mexico,2021-10-26 01:22:13,23.6345,-102.5528,3783327,286346,,,2960.528462570894,,,7.568629410040423,484,MEX,148861,10809
Micronesia,2021-10-26 01:22:13,7.4256,150.5508,1,0,,,0.8786188112287484,,,0.0,583,FSM,0,0
Moldova,2021-10-26 01:22:13,47.4116,28.3699,329294,7535,,,8163.039670914184,,,2.288228756066008,498,MDA,38975,802
Monaco,2021-10-26 01:22:13,43.7333,7.4167,3394,36,,,8648.455814901641,,,1.060695344725987,492,MCO,86,3
Mongolia,2021-10-26 01:22:13,46.8625,103.8467,350604,1666,,,10694.71541888276,,,0.4751799751286351,496,MNG,54734,454
Montenegro,2021-10-26 01:22:13,42.708678000000006,19.37439,141292,2071,,,22496.50512210578,,,1.465758854004473,499,MNE,11274,170
Morocco,2021-10-26 01:22:13,31.7917,-7.0926,944378,14621,,,2558.557906385485,,,1.5482148038179626,504,MAR,14972,445
Mozambique,2021-10-26 01:22:13,-18.665695,35.529562,151226,1928,,,483.8390507123001,,,1.2749130440532712,508,MOZ,695,19
Namibia,2021-10-26 01:22:13,-22.9576,18.4904,128849,3550,,,5070.966533328926,,,2.755163020279552,516,NAM,1563,56
Nepal,2021-10-26 01:22:13,28.1667,84.25,809729,11361,,,2779.0587081467543,,,1.4030620121052846,524,NPL,17664,252
Netherlands,2021-10-26 01:22:13,52.3167,5.55,2127544,18758,,,12416.456194335376,,,0.881673892525842,528,NLD,87728,195
New Zealand,2021-10-26 01:22:13,-40.9006,174.886,5750,28,,,119.2393648336777,,,0.4869565217391305,554,NZL,1555,1
Nicaragua,2021-10-26 01:22:13,12.865416,-85.207229,16241,207,,,245.16367441491158,,,1.2745520596022413,558,NIC,2511,4
Niger,2021-10-26 01:22:13,17.607789,8.081666,6260,208,,,25.860677212645324,,,3.322683706070288,562,NER,274,6
Nigeria,2021-10-26 01:22:13,9.082,8.6753,210460,2882,,,102.09586768988724,,,1.369381355126865,566,NGA,6004,205
North Macedonia,2021-10-26 01:22:13,41.6086,21.7453,199901,7062,,,9595.033071259204,,,3.5327487106117528,807,MKD,9879,457
Norway,2021-10-26 01:22:13,60.472,8.4689,201410,894,,,3715.200317565606,,,0.4438707114840376,578,NOR,13582,44
Oman,2021-10-26 01:22:13,21.512583,55.92325500000001,304183,4110,,,5956.638263023971,,,1.3511603212539818,512,OMN,524,15
Pakistan,2021-10-26 01:22:13,30.3753,69.3451,1269234,28386,,,574.5939636084514,,,2.236467034447549,586,PAK,28809,789
Palau,2021-10-26 01:22:13,7.515,134.5825,8,0,,,44.4247001332741,,,0.0,585,PLW,3,0
Panama,2021-10-26 01:22:13,8.538,-80.7821,471537,7307,,,10928.443893159492,,,1.5496132859139369,591,PAN,5225,99
Papua New Guinea,2021-10-26 01:22:13,-6.314993,143.95555,27895,335,,,311.7795441994307,,,1.2009320666786163,598,PNG,8104,108
Paraguay,2021-10-26 01:22:13,-23.4425,-58.4438,460754,16232,,,6459.895717227968,,,3.522921124938688,600,PRY,897,42
Peru,2021-10-26 01:22:13,-9.19,-75.0152,2195859,200052,,,6659.800000279026,,,9.11042102430074,604,PER,22825,760
